Year-Week,Weekly Tweets,close
2016-01,843.0,68.02199999999999
2016-02,463.0,63.02200000000001
2016-03,538.0,63.1075
2016-04,340.0,66.34400000000001
2016-05,258.0,66.804
2016-06,246.0,63.483999999999995
2016-07,374.0,63.205
2016-08,1129.0,67.59400000000001
2016-09,439.0,69.85199999999999
2016-10,293.0,68.822
2016-11,201.0,71.876
2016-12,164.0,69.80499999999999
2016-13,150.0,68.524
2016-14,330.0,62.861999999999995
2016-15,452.0,60.39200000000001
2016-16,167.0,61.216
2016-17,425.0,59.304
2016-18,182.0,52.648
2016-19,186.0,50.05200000000001
2016-20,113.0,48.28
2016-21,128.0,49.938
2016-22,114.0,49.7025
2016-23,176.0,50.118
2016-24,149.0,48.158
2016-25,157.0,48.303999999999995
2016-26,120.0,47.132
2016-27,445.0,46.71
2016-28,162.0,46.952
2016-29,113.0,48.114
2016-30,139.0,47.786
2016-31,643.0,46.44199999999999
2016-32,611.0,40.386
2016-33,291.0,37.65599999999999
2016-34,217.0,37.404
2016-35,294.0,38.056
2016-36,215.0,38.26625
2016-37,252.0,35.80999999999999
2016-38,241.0,34.986000000000004
2016-39,278.0,38.798
2016-40,251.0,38.77
2016-41,201.0,38.65
2016-42,326.0,41.023999999999994
2016-43,190.0,40.874
2016-44,562.0,37.822
2016-45,226.0,32.672
2016-46,781.0,31.892000000000003
2016-47,315.0,29.855
2016-48,128.0,30.334
2016-49,221.0,32.940000000000005
2016-50,132.0,33.516
2016-51,121.0,33.59
2016-52,179.0,32.8625
2017-01,178.0,33.7275
2017-02,269.0,34.516000000000005
2017-03,154.0,34.6875
2017-04,187.0,32.57
2017-05,106.0,31.548
2017-06,177.0,32.11
2017-07,299.0,34.18599999999999
2017-08,869.0,36.32
2017-09,224.0,35.834
2017-10,256.0,32.7
2017-11,198.0,32.54299999999999
2017-12,233.0,29.028000000000002
2017-13,252.0,27.822000000000006
2017-14,351.0,26.632
2017-15,185.0,27.85
2017-16,122.0,26.862
2017-17,249.0,28.52
2017-18,634.0,32.512
2017-19,240.0,36.1
2017-20,187.0,36.054
2017-21,280.0,37.316
2017-22,202.0,38.66499999999999
2017-23,185.0,37.3
2017-24,123.0,36.122
2017-25,300.0,37.438
2017-26,145.0,40.134
2017-27,97.0,39.295
2017-28,243.0,41.122
2017-29,331.0,44.76600000000001
2017-30,549.0,45.912
2017-31,306.0,48.574
2017-32,149.0,47.626000000000005
2017-33,260.0,48.571999999999996
2017-34,176.0,46.73
2017-35,205.0,47.861999999999995
2017-36,126.0,47.39250000000001
2017-37,371.0,48.06999999999999
2017-38,509.0,49.284
2017-39,270.0,46.424
2017-44,421.0,58.04
2017-45,178.0,61.27
2017-46,178.0,60.79599999999999
2017-47,125.0,60.605
2017-48,245.0,61.24
2017-49,667.0,64.03399999999999
2017-50,337.0,68.85799999999999
2017-51,196.0,69.28599999999999
2017-52,159.0,68.1875
2018-00,182.0,69.635
2018-01,420.0,71.79199999999999
2018-02,152.0,71.08500000000002
2018-03,467.0,69.48400000000001
2018-04,181.0,67.32000000000001
2018-05,165.0,62.36600000000001
2018-06,227.0,64.72999999999999
2018-07,407.0,65.3375
2018-08,222.0,63.56999999999999
2018-09,176.0,67.40799999999999
2018-10,244.0,69.46600000000001
2018-11,240.0,72.17399999999999
2018-12,141.0,71.4575
2018-13,148.0,70.13600000000001
2018-14,133.0,70.96000000000002
2018-15,349.0,74.57
2018-16,390.0,75.00999999999998
2018-17,297.0,67.75800000000001
2018-18,236.0,69.926
2018-19,181.0,72.22800000000001
2018-20,104.0,69.19
2018-21,111.0,67.9475
2018-22,712.0,56.292
2018-23,338.0,52.626000000000005
2018-24,245.0,52.138000000000005
2018-25,240.0,52.06399999999999
2018-26,137.0,53.31
2018-27,140.0,54.706
2018-28,154.0,53.824
2018-29,322.0,53.00599999999999
2018-30,148.0,52.746
2018-31,99.0,53.773999999999994
2018-32,75.0,51.408
2018-33,109.0,52.29
2018-34,117.0,52.372
2018-35,84.0,50.3075
2018-36,78.0,48.426
2018-37,112.0,49.434
2018-38,82.0,49.074
2018-39,19.0,48.226000000000006
2018-40,8.0,46.332
2018-41,69.0,46.85
2018-42,271.0,42.973
2018-43,176.0,40.591
2018-44,140.0,43.163999999999994
2018-45,62.0,43.23
2018-46,47.0,42.9825
2018-47,115.0,44.49800000000001
2018-48,169.0,44.3
2018-49,223.0,43.64
2018-50,84.0,42.088
2018-51,45.0,41.48
2018-52,12.0,42.455
2019-00,130.0,44.10666666666666
2019-01,100.0,46.843999999999994
2019-02,69.0,47.44199999999999
2019-03,88.0,47.8025
2019-04,97.0,50.102
2019-05,69.0,48.718
2019-06,127.0,50.163999999999994
2019-07,276.0,52.3575
2019-08,116.0,52.4
2019-09,102.0,51.51400000000001
2019-10,138.0,54.082
2019-11,118.0,54.6
2019-12,138.0,51.738
2019-13,101.0,54.90599999999999
2019-14,304.0,58.95800000000001
2019-15,85.0,60.31249999999999
2019-16,134.0,61.238
2019-17,209.0,61.172
2019-18,152.0,60.24400000000001
2019-19,82.0,59.328
2019-20,66.0,58.08200000000001
2019-21,72.0,58.4725
2019-22,108.0,60.9
2019-23,119.0,62.136
2019-24,87.0,62.508
2019-25,91.0,63.63199999999999
2019-26,72.0,66.4525
2019-27,65.0,66.42
2019-28,42.0,65.55799999999999
2019-29,64.0,65.92399999999999
2019-30,265.0,66.008
2019-31,143.0,63.388000000000005
2019-32,45.0,60.614
2019-33,68.0,62.792
2019-34,31.0,62.142
2019-35,53.0,62.2675
