Year-Week,COENF,DNNGY,DQ,ENPH,FSLR,GCTAY,ORA,RUN,SCTY,SPWR,TSLA,VWDRY
2004-45,,,,,,,15.86,,,,,
2004-46,,,,,,,15.860000000000003,,,,,
2004-47,,,,,,,16.82,,,,,
2004-48,,,,,,,17.470000000000002,,,,,
2004-49,,,,,,,16.890000000000004,,,,,
2004-50,,,,,,,17.748,,,,,
2004-51,,,,,,,17.302500000000002,,,,,
2004-52,,,,,,,16.924,,,,,
2005-01,,,,,,,15.741999999999999,,,,,
2005-02,,,,,,,15.780000000000001,,,,,
2005-03,,,,,,,15.712499999999999,,,,,
2005-04,,,,,,,15.838,,,,,
2005-05,,,,,,,15.782,,,,,
2005-06,,,,,,,15.829999999999998,,,,,
2005-07,,,,,,,15.986,,,,,
2005-08,,,,,,,15.3875,,,,,
2005-09,,,,,,,15.588,,,,,
2005-10,,,,,,,15.584,,,,,
2005-11,,,,,,,15.382,,,,,
2005-12,,,,,,,15.507499999999999,,,,,
2005-13,,,,,,,15.516,,,,,
2005-14,,,,,,,15.636,,,,,
2005-15,,,,,,,14.802000000000001,,,,,
2005-16,,,,,,,14.597999999999999,,,,,
2005-17,,,,,,,15.48,,,,,
2005-18,,,,,,,15.828000000000003,,,,,
2005-19,,,,,,,16.486,,,,,
2005-20,,,,,,,16.248,,,,,
2005-21,,,,,,,16.523999999999997,,,,,
2005-22,,,,,,,16.825,,,,,
2005-23,,,,,,,16.988,,,,,
2005-24,,,,,,,16.868000000000002,,,,,
2005-25,,,,,,,16.932,,,,,
2005-26,,,,,,,18.012,,,,,
2005-27,,,,,,,18.7,,,,,
2005-28,,,,,,,18.728,,,,,
2005-29,,,,,,,19.104,,,,,
2005-30,,,,,,,19.06,,,,,
2005-31,,,,,,,19.546,,,,,
2005-32,,,,,,,20.205999999999996,,,,,
2005-33,,,,,,,20.448,,,,,
2005-34,,,,,,,20.656,,,,,
2005-35,,,,,,,21.858,,,,,
2005-36,,,,,,,22.898,,,,,
2005-37,,,,,,,23.552,,,,,
2005-38,,,,,,,22.726000000000003,,,,,
2005-39,,,,,,,22.580000000000002,,,,,
2005-40,,,,,,,21.46,,,,,
2005-41,,,,,,,19.85,,,,,
2005-42,,,,,,,20.894,,,,,
2005-43,,,,,,,20.474,,,,,
2005-44,,,,,,,20.316,,,,,
2005-45,,,,,,,20.868000000000002,,,,,
2005-46,,,,,,,21.904,,,26.275,,
2005-47,,,,,,,23.5375,,,25.71,,
2005-48,,,,,,,25.204,,,25.212,,
2005-49,,,,,,,26.474,,,25.608000000000004,,
2005-50,,,,,,,27.951999999999998,,,28.544,,
2005-51,,,,,,,28.54,,,28.932,,
2005-52,,,,,,,26.3975,,,32.7825,,
2006-01,,,,,,,28.0625,,,33.030274999999996,,
2006-02,,,,,,,30.144,,,34.826,,
2006-03,,,,,,,32.8575,,,34.35,,
2006-04,,,,,,,35.624,,,33.168,,
2006-05,,,,,,,35.638,,,38.457800000000006,,
2006-06,,,,,,,39.824,,,37.029999999999994,,
2006-07,,,,,,,40.565999999999995,,,36.548,,
2006-08,,,,,,,36.3325,,,38.269999999999996,,
2006-09,,,,,,,39.304,,,43.55559999999999,,
2006-10,,,,,,,37.724000000000004,,,39.96,,
2006-11,,,,,,,37.821999999999996,,,40.454,,
2006-12,,,,,,,38.604,,,39.583999999999996,,
2006-13,,,,,,,39.578,,,38.934,,
2006-14,,,,,,,36.174,,,36.6957,,
2006-15,,,,,,,35.8725,,,35.48375,,
2006-16,,,,,,,35.9,,,39.036,,
2006-17,,,,,,,34.096,,,39.077999999999996,,
2006-18,,,,,,,35.86,,,39.438,,
2006-19,,,,,,,38.118,,,37.788,,
2006-20,,,,,,,37.434000000000005,,,31.838,,
2006-21,,,,,,,36.604,,,31.252,,
2006-22,,,,,,,38.31,,,30.355,,
2006-23,,,,,,,37.662,,,28.57,,
2006-24,,,,,,,33.678,,,26.85,,
2006-25,,,,,,,33.778000000000006,,,27.637999999999998,,
2006-26,,,,,,,36.336,,,27.606,,
2006-27,,,,,,,37.4775,,,28.127499999999998,,
2006-28,,,,,,,35.858000000000004,,,25.964,,
2006-29,,,,,,,34.46,,,26.309999999999995,,
2006-30,,,,,,,35.093999999999994,,,32.019999999999996,,
2006-31,,,,,,,37.512,,,32.164,,
2006-32,,,,,,,36.786,,,31.426,,
2006-33,,,,,,,35.641999999999996,,,32.256,,
2006-34,,,,,,,37.536,,,31.419999999999998,,
2006-35,,,,,,,37.10600000000001,,,31.144,,
2006-36,,,,,,,37.059999999999995,,,30.662499999999998,,
2006-37,,,,,,,34.727999999999994,,,29.124000000000002,,
2006-38,,,,,,,33.446,,,27.445999999999998,,
2006-39,,,,,,,32.902,,,27.262,,
2006-40,,,,,,,33.257999999999996,,,27.919999999999998,,
2006-41,,,,,,,35.132,,,29.588,,
2006-42,,,,,,,36.648,,,31.778,,
2006-43,,,,,,,38.18,,,31.703999999999997,,
2006-44,,,,,,,37.85,,,32.714,,
2006-45,,,,,,,37.784,,,33.702,,
2006-46,,,,,24.74,,38.013999999999996,,,37.574,,
2006-47,,,,,26.0575,,37.8125,,,38.505,,
2006-48,,,,,28.196000000000005,,36.809999999999995,,,37.446000000000005,,
2006-49,,,,,27.401999999999997,,39.372,,,37.85,,
2006-50,,,,,27.954,,38.29,,,38.306,,
2006-51,,,,,27.676,,37.382,,,37.32,,
2006-52,,,,,28.9025,,36.9075,,,36.49,,
2007-00,,,,,28.46666666666667,,37.98333333333334,,,36.419999999999995,,
2007-01,,,,,29.24,,38.288,,,40.714,,
2007-02,,,,,28.58,,37.557500000000005,,,42.332499999999996,,
2007-03,,,,,28.889999999999997,,38.072,,,41.902,,
2007-04,,,,,32.017999999999994,,39.192,,,44.288,,
