dates,image.thumbnail.height,image.thumbnail.width,sentiment
3/28/2021,,,0.433852632
4/4/2021,307,612,0.443390244
4/11/2021,,,0.539109091
4/18/2021,344.5,571.5,0.5932
4/25/2021,363,620.1290323,0.539983333
