_type,about,category,datePublished,description,image._type,image.thumbnail._type,image.thumbnail.contentUrl,image.thumbnail.height,image.thumbnail.width,mentions,name,provider,url
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/ad99c262-d92e-4e88-87f7-5c66752fec36', 'name': 'Houston'}]",,2021-04-09T09:56:00.0000000Z,"HOUSTON – A candlelight vigil was held Monday night for Houston R&B singer JaeRene, who was killed in a wrong-way crash last Wednesday. The vigil started at 7 p.m. at the Raven Tower (310 North ...",,,,,,,"Candlelight vigil held for JaeRene, Houston R&B singer killed in wrong-way crash","[{'_type': 'Organization', 'name': 'Click2Houston'}]",https://www.click2houston.com/news/local/2021/04/08/victim-killed-in-wrong-way-crash-on-westpark-tollway-identified-as-houston-rb-singer/
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/75c62d8e-1449-4e4d-b188-d9e88f878dd9', 'name': 'Germany'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/37c5827e-6bca-5a37-cef4-d269a604a755', 'name': 'Wow'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/1ff80152-f640-9343-cabe-a0f4b3a0fb2e', 'name': 'Factory'}]",Business,2021-04-08T06:34:00.0000000Z,"It was a quieter start to the day on the economic calendar today, with the markets coming off the back of yesterday’s PMI numbers. The German economy was back in focus ahead of the European open ...",,,,,,,German Factory Orders Fail to Wow the EUR ahead of the ECB Minutes,"[{'_type': 'Organization', 'name': 'FXEmpire.com'}]",https://www.fxempire.com/news/article/german-factory-orders-fail-to-wow-the-eur-ahead-of-the-ecb-minutes-718393
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/0c3b7b2c-f40e-cba8-3bb6-29450420b38e', 'name': 'NASDAQ'}]",,2021-04-02T14:17:00.0000000Z,"Tesla Inc (NASDAQ: TSLA) delivered 184,800 vehicles in the first quarter, handily beating the 168,000 number analysts expected. Estimates ranged from 145,000 to 188,000 deliveries, according to CNBC.",,,,,,,"Tesla Reports 184,800 Deliveries In 'Drop The Mic' Quarter","[{'_type': 'Organization', 'name': 'Benzinga.com'}]",https://www.benzinga.com/analyst-ratings/analyst-color/21/04/20465381/tesla-reports-184-800-deliveries-in-drop-the-mic-quarter
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/6fa57c29-e813-4a1d-7fba-3541ca4c1dc3', 'name': 'Apple Inc.'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/bf1be0f9-6a6d-e88c-977e-df90b7e28cf5', 'name': 'Tim Cook'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/cd550390-8f23-9faa-4b3d-5d5ef422c989', 'name': 'Match'}]",,2021-04-06T06:39:00.0000000Z,"“Tesla has done an unbelievable job of not only establishing the lead but keeping the lead for such a long period of time in the electric vehicle space,” Cook said. is devoted to electric ...",,,,,,,Apple CEO Tim Cook sets out autonomous cars as ‘ideal match’ for the tech giant,"[{'_type': 'Organization', 'name': 'South China Morning Post'}]",https://www.scmp.com/tech/big-tech/article/3128447/apple-ceo-tim-cook-sets-out-autonomous-cars-ideal-match-tech-giant
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/ce6414c0-f9f0-b48b-31f9-42a7dab4db59', 'name': 'Elon Musk'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/f47cc21f-7912-f7fe-3ac8-2769a0f1a2d6', 'name': 'Las Vegas Valley'}]",,2021-04-09T06:00:00.0000000Z,"And it looks pretty underwhelming, to say the least. The videos show a Tesla car being driven by a human driver and it has a top speed of just 35 miles per hour, according to the Review Journal.",,,,,,,Elon Musk's 'Public Transit' in Las Vegas Still Just Humans Driving Cars Slowly in a Tunnel,"[{'_type': 'Organization', 'name': 'Gizmodo'}]",https://gizmodo.com/elon-musks-public-transit-in-las-vegas-still-just-human-1846648723
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/3009d91d-d582-4c34-85ba-772ba09e5be1', 'name': 'California'}]",,2021-04-02T10:00:00.0000000Z,"A lot of land is required for transmission lines, for solar and wind farms and other purposes. If the state and private developers have to acquire land on a parcel-by-parcel basis, dealing with ...",,,,,,,Letters to the Editor: California’s green energy initiatives could face same problems as high-speed rail,"[{'_type': 'Organization', 'name': 'Los Angeles Times'}]",https://www.latimes.com/opinion/story/2021-04-02/letters-to-the-editor-californias-green-energy-initiatives-could-face-same-problems-as-high-speed-rail
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/bf1be0f9-6a6d-e88c-977e-df90b7e28cf5', 'name': 'Tim Cook'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/6a7247fc-399b-caf8-0ae1-1f300c8c0894', 'name': 'Augmented reality'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/6fa57c29-e813-4a1d-7fba-3541ca4c1dc3', 'name': 'Apple Inc.'}]",,2021-04-06T02:29:00.0000000Z,"And we love to own the primary technology that’s around that."" We also know that during Tesla's struggles with the Model 3, Elon Musk tried (unsuccessfully) to meet up with Cook to discuss ...",,,,,,,"Tim Cook throws Apple Car hints, says augmented reality could greatly enhance conversations","[{'_type': 'Organization', 'name': 'TechSpot'}]",https://www.techspot.com/news/89183-tim-cook-throws-apple-car-hints-augmented-reality.html
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/9507223d-c2c6-e395-52b6-154b9003a348', 'name': 'JB Straubel'}]",,2021-04-10T14:14:00.0000000Z,"And a shortage of lithium-ion batteries is looming in the U.S. Former Tesla CTO and the mastermind ... at its first recycling facility in Carson City, Nevada. Watch the video to learn why battery ...",,,,,,,"Inside Redwood Materials, former Tesla CTO's effort to recycle batteries for rare components","[{'_type': 'Organization', 'name': 'CNBC'}]",https://www.cnbc.com/2021/04/10/tesla-jb-straubel-redwood-materials-battery-recycling.html
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/ac144fa9-f64d-c469-6632-693f62b13059', 'name': 'Toyota'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/c49702b4-29aa-8548-8e38-8877dfc23dcf', 'name': 'Highway'}]",,2021-04-08T17:10:00.0000000Z,"As you're surely tired of hearing by now, self-driving cars do not exist. None. Your car can't drive by itself. But Toyota also suspects it can't drive all that well with you behind the wheel, so ...",,,,,,,"Toyota Unveils New L2 Driver Assist Tech That Can Change Lanes, Pass Cars on the Highway","[{'_type': 'Organization', 'name': 'The Drive'}]",https://www.thedrive.com/tech/40101/toyota-unveils-new-l2-driver-assist-tech-that-can-change-lanes-pass-cars-on-the-highway
NewsArticle,"[{'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/75c62d8e-1449-4e4d-b188-d9e88f878dd9', 'name': 'Germany'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/61125ab4-60f9-d3cf-43a0-6457001cc17f', 'name': 'Union'}, {'_type': 'Thing', 'readLink': 'https://api.cognitive.microsoft.com/api/v7/entities/7a036fad-f53a-f7bc-e6ab-92fd5b6ae8ac', 'name': 'Collision course'}]",,2021-04-03T00:00:00.0000000Z,"DOW -0.00% S&P 500 -0.00% NASDAQ 100 -0.00% As Tesla works to get its mammoth new factory in Germany up and running by the summer, disturbing delicate reptile habitats may be the least of Elon ...",,,,,,,Tesla is on a collision course with Germany's biggest union and neither side is likely to back down,"[{'_type': 'Organization', 'name': 'Business Insider'}]",https://www.businessinsider.com/tesla-gigafactory-berlin-union-battle-ig-metall-2021-4
