CreatedAt,TweetId,AuthorId,TweetText
2021-03-31T17:06:58.000Z,1377306436716257287,1303916635,Dubai Holding had partnered with five firms to develop a 4 billion dirham ($1.1 billion) energy-from-waste facility. The build and operate project has a 35-year concession period with the #Dubai municipality #energytransition #sustainability  https://t.co/Y9b3kOYOao
2021-03-31T17:05:50.000Z,1377306152304701443,1303916635,Did you know: The Presidential #PowerInitiative is a strategic and systematic approach to solving Nigeria’s perennial problems of unreliable and inadequate #electricity supply. Learn more about it here:  #Nigeria 🇳🇬  #sustainability  https://t.co/P3VmXfl4bm
2021-03-31T17:02:40.000Z,1377305354485198858,1070994006786617344,#Decarbonization: We Just Have To Capture The Carbon Before It Enters The Atmosphere#carbonVia @forbes https://t.co/dCdb0nuUjp
2021-03-31T16:37:07.000Z,1377298926647173122,1188741044654862339,Producing fuels from wind 🌬  waterand #CO2 captured from the air now becomes reality in the Magallanes Province  #Chile. With the Haru Oni e-Methanol and e-Gasoline project  Siemens Energy is taking strong strides to #decarbonize the transportation sector https://t.co/ZVh19KdtbH
2021-03-31T16:35:09.000Z,1377298428770672644,1188741044654862339,Additive manufacturing is revolutionizing not only how we produce parts  but also how we repair them. Learn more about how and why this technology is so importance to the energy industry in our free webinar. https://t.co/OfdbqUY4dR
2021-03-31T16:34:48.000Z,1377298340778401794,1188741044654862339,India and the United States have agreed to revamp their strategic energy partnership to focus on greater collaboration in cleaner energy sectors such as bio fuels  and hydrogen production. https://t.co/toAfNo5tAa
2021-03-31T16:34:32.000Z,1377298276681097218,1188741044654862339,Dubai Holding had partnered with five firms to develop a 4 billion dirham ($1.1 billion) energy-from-waste facility. The build and operate project has a 35-year concession period with the Dubai municipality. https://t.co/iHFNGY7Jax
2021-03-31T16:17:56.000Z,1377294096813932546,266545915,Proud of our president! Thanks Miguel! Your commitment is very important! #committed  @SiemensGamesa https://t.co/VrhDGLJCg1
2021-03-31T16:13:12.000Z,1377292907854585859,47581268,Siemens Gamesa cements firm order for Sofiahttps://t.co/fDwTYSNQS8#offshoreenergy #offshorewindenergy #renewables #windenergy #renewableenergysystems #offshorewind #offshorewindfarm
2021-03-31T16:12:15.000Z,1377292666275307525,1364314375557943296,@RepsolWorldwide @SiemensGamesa Well  you are partners in crime with a company that is about to leave 300 workers without a job in Galicia so I'll save my pats in the back for another time  shall I?
