Date,neg,neu,pos,compound
2011-01-01,0.0067,0.9084,0.0849,0.133425
2011-01-02,0.013153846153846155,0.7089999999999999,0.27784615384615385,0.4829615384615385
2011-01-03,0.014764705882352942,0.7990882352941175,0.1861470588235294,0.28390882352941177
2011-01-04,0.029500000000000002,0.7725454545454545,0.19795454545454547,0.271440909090909
2011-01-05,0.0,0.8377619047619047,0.16223809523809526,0.2969904761904762
2011-01-06,0.0435,0.8449499999999999,0.11155,0.13095500000000002
2011-01-07,0.020743589743589745,0.9111025641025643,0.06815384615384615,0.07060256410256412
2011-01-08,0.013130434782608695,0.8726521739130435,0.1142608695652174,0.1620739130434783
2011-01-09,0.103,0.6530769230769231,0.2439230769230769,0.1578923076923077
2011-01-10,0.01824,0.8027399999999999,0.17902000000000004,0.25833799999999996
2011-01-11,0.007647058823529412,0.7947500000000001,0.1975882352941176,0.3109132352941176
2011-01-12,0.02714814814814815,0.8242592592592592,0.1486111111111111,0.20618148148148147
2011-01-13,0.019890625000000002,0.8049062499999999,0.17521874999999998,0.23315468750000004
2011-01-14,0.005730337078651685,0.8563258426966293,0.1379438202247191,0.20952921348314607
2011-01-15,0.019666666666666666,0.8492916666666668,0.1310416666666667,0.12967083333333332
2011-01-16,0.015724137931034485,0.8220689655172412,0.1622068965517241,0.2728310344827586
2011-01-17,0.028411764705882355,0.8280294117647058,0.14355882352941177,0.17715294117647057
2011-01-18,0.0179625,0.8707874999999998,0.11124999999999996,0.15218749999999998
2011-01-19,0.018054945054945055,0.8794615384615379,0.10248351648351647,0.13803736263736263
2011-01-20,0.04977647058823528,0.8219529411764706,0.12828235294117646,0.1403270588235294
2011-01-21,0.018622222222222224,0.8090222222222223,0.1723666666666667,0.2400600000000001
2011-01-22,0.016657894736842104,0.820578947368421,0.16273684210526315,0.22957105263157893
2011-01-23,0.043894736842105264,0.8461052631578948,0.10999999999999999,0.14952105263157897
2011-01-24,0.03040909090909091,0.8014318181818183,0.16815909090909087,0.2285931818181819
2011-01-25,0.07135897435897436,0.7805128205128208,0.14801282051282053,0.13042948717948719
2011-01-26,0.03107446808510638,0.8341808510638293,0.13472340425531912,0.1761170212765958
2011-01-27,0.02227777777777778,0.7757222222222225,0.20198148148148146,0.2995
2011-01-28,0.011588235294117647,0.7271470588235294,0.26126470588235284,0.3926529411764706
2011-01-29,0.008833333333333334,0.7364166666666666,0.25475,0.34297500000000003
2011-01-30,0.0106,0.9083,0.0811,0.13713999999999998
2011-01-31,0.036787878787878786,0.7446060606060606,0.21863636363636363,0.28526969696969695
2011-02-01,0.02284615384615385,0.815246153846154,0.1619076923076923,0.20389076923076926
2011-02-02,0.006142857142857143,0.8657301587301586,0.12811111111111112,0.195231746031746
2011-02-03,0.03735955056179775,0.8239550561797754,0.13868539325842696,0.13999550561797752
2011-02-04,0.02585148514851485,0.7690792079207918,0.2050594059405941,0.2841089108910891
2011-02-05,0.06212903225806451,0.7273548387096772,0.21051612903225808,0.2691774193548387
2011-02-06,0.013653846153846154,0.8608076923076923,0.12546153846153846,0.1649692307692308
2011-02-07,0.01072,0.8359200000000001,0.15335999999999997,0.23473200000000002
2011-02-08,0.042627450980392154,0.8529215686274508,0.10443137254901962,0.07995098039215687
2011-02-09,0.029375,0.7965833333333334,0.17404166666666665,0.22515208333333328
2011-02-10,0.017162162162162164,0.7313243243243243,0.2514864864864865,0.37824594594594596
2011-02-11,0.021071428571428574,0.8228857142857143,0.15604285714285715,0.23715999999999998
2011-02-12,0.020470588235294115,0.8371176470588234,0.14241176470588238,0.2165058823529412
2011-02-13,0.04245833333333333,0.8352916666666665,0.12225000000000001,0.1567708333333334
2011-02-14,0.021187499999999998,0.7641375000000002,0.21466249999999992,0.3381200000000001
2011-02-15,0.010742857142857143,0.8281714285714284,0.16108571428571428,0.2476942857142857
2011-02-16,0.03588888888888889,0.852777777777778,0.11133333333333334,0.11348888888888888
2011-02-17,0.0015268817204301074,0.8158709677419356,0.18260215053763448,0.2851290322580647
2011-02-18,0.02924050632911392,0.8626582278481012,0.1080886075949367,0.11969240506329117
2011-02-19,0.013558139534883723,0.8219767441860465,0.16446511627906976,0.2433279069767442
2011-02-20,0.0,0.6189523809523807,0.38104761904761913,0.5734793650793654
2011-02-21,0.010728260869565217,0.8676847826086956,0.12159782608695656,0.1693619565217391
