Date,close_fslr,close_gctay,close_run,close_plug,close_spwr,close_mean
2015-11-02,57.78,3.193,7.36,2.64,27.42,19.6786
2015-11-03,58.35,3.13,7.52,2.87,27.5,19.874000000000002
2015-11-04,58.66,3.13,7.71,2.92,27.8,20.044
2015-11-05,58.33,3.13,8.07,2.86,27.44,19.966
2015-11-06,59.67,3.13,7.82,2.76,28.74,20.424
2015-11-09,58.39,3.13,7.73,2.365,28.09,19.941
2015-11-10,55.87,3.3,7.27,1.905,26.21,18.911
2015-11-11,54.75,3.3,6.99,1.84,25.62,18.5
2015-11-12,53.92,3.3,6.58,1.78,24.93,18.101999999999997
2015-11-13,52.72,3.3,7.31,1.84,23.36,17.706
2015-11-16,54.18,3.3,7.0,1.92,23.98,18.076
2015-11-17,52.75,3.25,6.72,1.84,22.36,17.384
2015-11-18,53.94,3.25,6.55,1.88,23.66,17.855999999999998
2015-11-19,53.28,3.37,6.5,1.9,22.93,17.595999999999997
2015-11-20,54.44,3.37,6.67,1.9,23.2,17.916
2015-11-23,54.88,3.37,6.6,1.92,23.14,17.982
2015-11-24,56.17,3.37,6.74,1.94,24.08,18.46
2015-11-25,56.4,3.37,6.75,2.07,23.75,18.467999999999996
2015-11-27,56.1,3.37,7.22,2.12,23.97,18.556
2015-11-30,56.51,3.37,6.65,2.2,23.96,18.538
2015-12-01,58.18,3.37,7.05,2.19,25.11,19.18
2015-12-02,59.67,3.48,7.39,2.11,26.17,19.764
