Date,daily_tweets,neg_sentiment,pos_sentiment,compound_sentiment,closing_price
2011-01-03,5,0.0,0.25579999999999997,0.47036000000000006,1.69
2011-01-04,6,0.0,0.209,0.3224,1.69
2011-01-05,5,0.0,0.29819999999999997,0.47766000000000003,1.69
2011-01-06,3,0.0,0.23266666666666666,0.3919333333333333,1.69
2011-01-07,4,0.0,0.13824999999999998,0.241975,1.69
2011-01-10,12,0.0,0.26575,0.3891833333333334,1.69
2011-01-11,34,0.0,0.2557058823529411,0.44656176470588244,1.69
2011-01-12,13,0.026615384615384617,0.24961538461538468,0.33853846153846157,1.69
2011-01-13,19,0.0,0.2335263157894737,0.3709894736842106,1.69
2011-01-14,11,0.0,0.22527272727272732,0.4053090909090909,1.69
2011-01-18,5,0.0688,0.28019999999999995,0.28832,1.69
2011-01-19,4,0.0,0.27725,0.4373250000000001,1.69
2011-01-20,3,0.0,0.16866666666666666,0.3161,1.69
2011-01-21,13,0.0,0.464,0.6921615384615384,1.69
2011-01-24,8,0.01075,0.359875,0.5875250000000001,1.69
2011-01-25,6,0.0,0.24666666666666667,0.29130000000000006,1.69
2011-01-26,12,0.0,0.23,0.3312916666666667,1.69
2011-01-27,30,0.0052,0.27943333333333337,0.45333999999999997,1.69
2011-01-28,14,0.009,0.30750000000000005,0.4889071428571429,1.69
2011-01-31,12,0.0,0.30516666666666664,0.48718333333333336,1.69
2011-02-01,20,0.008,0.19235000000000002,0.28753000000000006,1.69
2011-02-02,2,0.0,0.26399999999999996,0.37495,1.69
2011-02-03,10,0.041299999999999996,0.2479,0.22598000000000001,1.69
2011-02-04,2,0.0,0.5305,0.7518,1.69
2011-02-07,6,0.013833333333333335,0.18583333333333332,0.2842,1.69
2011-02-08,6,0.0,0.17783333333333332,0.22766666666666668,1.69
2011-02-09,9,0.0,0.2625555555555556,0.3743777777777778,1.69
2011-02-10,6,0.0,0.24616666666666667,0.4158,1.69
2011-02-11,10,0.0124,0.2571,0.4014500000000001,1.69
2011-02-14,3,0.0,0.2946666666666667,0.4186666666666667,1.69
2011-02-15,5,0.0344,0.2792,0.3899800000000001,1.69
2011-02-16,4,0.0,0.35175,0.40385000000000004,1.69
2011-02-17,9,0.015777777777777776,0.21322222222222223,0.3329111111111111,1.69
2011-02-18,6,0.0,0.21266666666666667,0.34326666666666666,1.69
2011-02-22,22,0.0,0.38404545454545463,0.5778227272727272,1.69
2011-02-23,18,0.0235,0.3084444444444444,0.4523722222222222,1.69
2011-02-24,12,0.016083333333333335,0.28458333333333335,0.40597500000000003,1.69
2011-02-25,9,0.01933333333333333,0.21288888888888888,0.3441222222222222,1.69
2011-02-28,11,0.0,0.26436363636363636,0.43212727272727275,1.69
2011-03-01,17,0.008941176470588235,0.17952941176470588,0.2985529411764706,1.69
2011-03-02,18,0.0,0.19938888888888892,0.3315055555555556,1.69
2011-03-03,9,0.0,0.17588888888888887,0.25593333333333335,1.69
2011-03-04,10,0.0092,0.2292,0.33902,1.69
2011-03-07,20,0.0,0.25200000000000006,0.3870700000000001,1.69
2011-03-08,12,0.0265,0.16274999999999998,0.22358333333333333,1.69
2011-03-09,12,0.0,0.2884166666666667,0.5103833333333334,1.69
2011-03-10,7,0.0,0.2165714285714286,0.3692428571428571,1.69
2011-03-11,13,0.0,0.28807692307692306,0.4801846153846154,1.69
2011-03-14,18,0.06166666666666666,0.22233333333333338,0.20830000000000004,1.69
2011-03-15,10,0.0,0.26709999999999995,0.3942,1.69
2011-03-16,3,0.042,0.26033333333333336,0.33616666666666667,1.69
2011-03-17,24,0.015500000000000002,0.22062500000000004,0.3086875,1.69
2011-03-18,26,0.03273076923076923,0.22849999999999998,0.302523076923077,1.69
2011-03-21,10,0.033699999999999994,0.1609,0.23878000000000005,1.69
2011-03-22,14,0.0,0.2803571428571428,0.4746642857142857,1.69
2011-03-23,11,0.011181818181818183,0.2620909090909091,0.45709090909090916,1.69
